type, value, quantity, info,
capacitor, 47pf, 6, 5% ceramic,
capacitor, 5n6, 1, 63v polyester,
capacitor, 10nf, 1, 63v polyester,
capacitor, 100nf, 6, 5% ceramic,
capacitor, 100nf, 1, 63v polyester,
capacitor, 100nf, 5, 10% ceramic X7R,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 4, ic socket,
connector, 14-pin, 3, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 14,,
diode, 4.7v zener, 4, 5% 500mw,
chip, tl074, 3, quad jfet opamp,
chip, ca3080, 1, transconductance opamp,
chip, lm358, 1, dual opamp,
chip, tl072, 2, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 220r, 2, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 470r, 1, 1% 0.5w metal film,
resistor, 1k0, 6, 1% 0.5w metal film,
resistor, 1k8, 2, 1% 0.5w metal film,
resistor, 3k9, 1, 1% 0.5w metal film,
resistor, 4k7, 2, 1% 0.5w metal film,
resistor, 10k, 20, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 1, 1% 0.5w metal film,
resistor, 39k, 1, 1% 0.5w metal film,
resistor, 47k, 2, 1% 0.5w metal film,
resistor, 100k, 15, 1% 0.5w metal film,
resistor, 220k, 1, 1% 0.5w metal film,
resistor, 270k, 2, 1% 0.5w metal film,
transistor, 2n3904, 1, npn transistor,
transistor, 2n3906, 1, pnp transistor,
socket, yellow banana socket, 1,,
socket, blue banana socket, 3,,
socket, black banana socket, 3,,
socket, white banana socket, 3,,
potentiometer, 100k linear, 6,,
