type, value, quantity, info,notes,
capacitor, 47pf, 2, 5% ceramic, ,
capacitor, 100pf, 1, 5% ceramic, ,
capacitor, 1nf, 3, 63v polyester,
capacitor, 2n2f, 1, 63v polyester,
capacitor, 100nf, 8, 5% ceramic, ,
capacitor, 100nf, 1, 63v polyester,
capacitor, 220nf, 1, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
connector, 14-pin, 2, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
connector, 8-pin, 3, ic socket,
connector, 16-pin, 1, ic socket,
diode, 1n4148, 10,,
chip, tl072, 2, dual jfet opamp,
chip, lm13700, 1, dual ota,
chip, lm3900, 2, quad norton amp,
chip, lm741, 1, opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 100r, 2, 1% 0.5w metal film,
resistor, 330r, 4, 1% 0.5w metal film,
resistor, 3k3, 5, 1% 0.5w metal film,
resistor, 10k, 4, 1% 0.5w metal film,
resistor, 15k, 4, 1% 0.5w metal film,
resistor, 33k, 9, 1% 0.5w metal film,
resistor, 100k, 7, 1% 0.5w metal film,
resistor, 150k, 4, 1% 0.5w metal film,
resistor, 470k, 2, 1% 0.5w metal film,
resistor, 680k, 1, 1% 0.5w metal film,
resistor, 820k, 2, 1% 0.5w metal film,
resistor, 1m0, 4, 1% 0.5w metal film,
resistor, 1m5, 4, 1% 0.5w metal film,
resistor, 2m2, 2, 1% 0.5w metal film,
resistor, 2m7, 4, 1% 0.5w metal film,
resistor, 3m3, 1, 1% 0.5w metal film,
resistor, 4m7, 1, 1% 0.5w metal film,
transistor, j201, 2, jfet,
transistor, pn4250, 2, pnp transistor,
trimpot, 100k, 2, 1tv triangle footprint,
