Part,Value,FootprintType,PartNumber,Quantity,Spec,Tolerance,Voltage
Resistor, 100r,tht,,5,,1%,,
Resistor, 220r,tht,,8,,1%,,
Resistor, 330r,tht,,5,,1%,,
Resistor, 1k,tht,,2,,1%,,
Resistor, 6k8,tht,,1,,1%,,
Resistor, 10k,tht,,2,,1%,,
Resistor, 11k,tht,,4,,1%,,
Resistor, 33k,tht,,1,,1%,,
Resistor, 51k,tht,,4,,1%,,
Resistor, 100k,tht,,30,,1%,,
Resistor, 200k,tht,,1,,1%,,
Resistor, 1m,tht,,4,,1%,,
Capacitor, 10uf,tht,,2,electrolytic,,25V,
Capacitor, 22pf,tht,,5,ceramic c0g,,,
Capacitor, 100nf,tht,,1,ceramic x7r,,,
Capacitor, 100nf,tht,,2,ceramic c0g,,,
Capacitor, 100nf,smt,,14,ceramic x7r,,25V,
Diode, 1n4148,tht,,10,,,,
transistor, 2n3906,tht,,13,,,,
opamp, tl074,tht,,3,,,,
opamp, tl072,tht,,3,,,,
opamp, lm13700,tht,,2,,,,
regulator, LM4040-N,tht,,1,5v,,,
trimmer, 100k,tht,,4,3362p,,,
trimmer, 200r,tht,,1,3362p,,,
inductor, ferrite bead,tht,,2,,,,
led, yellow,tht,,4,,,,
led, 5mm fresnel lense,hardware,,4,yellow,,,
switch, spdt,,,1,on-on,,,
potentiometer, 100kb,,,14,,,,
socket, banana socket panelmount,,,9,black,,,
socket, banana socket panelmount,,,5,blue,,,
connector, kk396 4-way locking header,hardware,, 1,,,
connector, kk396 4-way crimp housing,hardware,, 1,,,
connector, kk396 crimp,hardware,, 4,,,
